trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-139.42263331613307,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-137.3187330853602,"{0: 15, 1: 8, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-122.97716856967818,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-77.54143176779485,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-81.3786469550895,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-151.9456427658526,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-107.20870431458509,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-161.5697991666867,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-151.07503239547682,"{0: 12, 1: 7, 2: 3, 3: 1, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-148.6656481842188,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,0,-81.06651381497882,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-130.82780753688945,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-152.6936919836122,"{0: 7, 1: 6, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-68.41212755623968,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,15,-45.55299448125338,"{0: 5, 1: 2, 2: 2, 3: 1, 4: 0}",1
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",30,0,-110.99861412827595,"{0: 15, 1: 7, 2: 7, 3: 1, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-68.76781198511054,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",30,0,-99.3913347043235,"{0: 16, 1: 4, 2: 10, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,7,-22.034156764911568,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,12,-28.886424978458404,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-146.52216808547485,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-175.18775171620683,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-82.49989507832179,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",30,0,-146.63023147580336,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,14,-43.45311733522083,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
